TEMPO_VIVIE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;BOLSA_FAMILIA;POP_RUA;GRAU_INSTRUCAO;COR_RACA;FAIXA_RENDA_FAMILIAR_PER_CAPITA;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Mais de dez anos;Todo mês;22/11/1967 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;25 a 36 Meses;out/19
Entre cinco e dez anos;Quase nunca;23/09/1967 00:00;52;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;25 a 36 Meses;out/19
Entre um e dois anos;Todo mês;22/07/1976 00:00;43;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;08/04/1967 00:00;52;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;11/10/1967 00:00;52;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;45;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Quase nunca;20/09/1971 00:00;48;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre dois e cinco anos;Quase nunca;14/11/1991 00:00;27;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Todo ano;26/11/1978 00:00;40;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;03/10/1987 00:00;32;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;02/08/1984 00:00;35;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;21/07/1967 00:00;52;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre dois e cinco anos;Quase nunca;03/12/1955 00:00;63;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;09/03/1972 00:00;47;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;30;CRAS VILA BIQUINHAS;NORTE;25 a 36 Meses;out/19
Entre cinco e dez anos;Nunca;19/05/1963 00:00;56;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;23/04/1973 00:00;46;MASCULINO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;02/03/1990 00:00;29;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;23/08/1977 00:00;42;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo ano;13/07/1993 00:00;26;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;17/04/1972 00:00;47;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Mais de dez anos;Toda semana;18/06/1988 00:00;31;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;28/03/1964 00:00;55;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;60;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Todo mês;04/10/1991 00:00;28;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Todo mês;29/12/1977 00:00;41;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Toda semana;08/05/1974 00:00;45;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;06/06/1979 00:00;40;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;30;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;23/03/1964 00:00;55;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;100;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre seis meses e um ano;Nunca;19/04/1991 00:00;28;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;26/03/1988 00:00;31;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;26/03/1979 00:00;40;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Todo ano;16/02/1980 00:00;39;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo ano;11/11/1992 00:00;26;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;19 a 24 Meses;out/19
Ate seis meses;Nunca;03/09/1977 00:00;42;MASCULINO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;12/03/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;13/09/1987 00:00;32;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Nunca;14/05/1967 00:00;52;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;25 a 36 Meses;out/19
Entre um e dois anos;Todo mês;06/01/1982 00:00;37;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;05/07/1988 00:00;31;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre cinco e dez anos;Todo mês;05/08/1979 00:00;40;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Todo mês;12/09/1972 00:00;47;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;80;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;19/05/1981 00:00;38;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;40;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;12/11/1977 00:00;41;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;13/03/1981 00:00;38;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;21/02/1971 00:00;48;MASCULINO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;13 a 18 Meses;out/19
Mais de dez anos;Toda semana;30/04/1986 00:00;33;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;50;EndereÃ§o Fora de Ãrea CRAS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;07/11/1969 00:00;49;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Nunca;28/10/1980 00:00;38;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS ALTO VERA CRUZ;LESTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;24/10/1971 00:00;47;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;20;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Toda semana;03/02/1969 00:00;50;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre seis meses e um ano;Todo mês;03/02/1964 00:00;55;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Entre R$89,01 ate R$178,00;100;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;24/12/1966 00:00;52;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;70;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Quase nunca;30/03/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;25/03/1965 00:00;54;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;24/05/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Nunca;26/09/1970 00:00;49;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;06/01/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;02/03/1972 00:00;47;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;14/09/1985 00:00;34;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre cinco e dez anos;Nunca;02/06/1980 00:00;39;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;60;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Quase nunca;13/10/1975 00:00;44;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;BARREIRO;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;31/12/1962 00:00;56;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;19/04/1976 00:00;43;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;200;ENDERECO FORA AREA CRAS;NOROESTE;13 a 18 Meses;out/19
Ate seis meses;Toda semana;14/08/1978 00:00;41;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;23/02/1971 00:00;48;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;out/19
Entre dois e cinco anos;Todo ano;27/02/1980 00:00;39;MASCULINO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Todo mês;29/12/1987 00:00;31;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre cinco e dez anos;Quase nunca;28/04/1979 00:00;40;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;02/04/1966 00:00;53;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;02/07/1979 00:00;40;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;29/06/1970 00:00;49;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;22/03/1985 00:00;34;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Ate seis meses;Nunca;16/01/1969 00:00;50;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;400;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;03/01/1972 00:00;47;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;70;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;29/01/1989 00:00;30;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;60;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre cinco e dez anos;Quase nunca;09/09/1988 00:00;31;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;04/04/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;NOROESTE;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;19/02/1966 00:00;53;MASCULINO;SIM;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;28/04/2012 00:00;7;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;31/05/2013 00:00;6;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;21/01/1979 00:00;40;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;22/05/1980 00:00;39;MASCULINO;SIM;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;22/03/1970 00:00;49;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;13 a 18 Meses;out/19
Mais de dez anos;Quase nunca;27/04/1967 00:00;52;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;23/07/1977 00:00;42;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;13 a 18 Meses;out/19
Entre cinco e dez anos;Nunca;05/12/1956 00:00;62;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;35;ENDERECO FORA AREA CRAS;NORDESTE;13 a 18 Meses;out/19
Ate seis meses;Nunca;22/12/1953 00:00;65;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;15/04/1979 00:00;40;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;120;ENDERECO FORA AREA CRAS;NOROESTE;13 a 18 Meses;out/19
Mais de dez anos;Nunca;28/02/1964 00:00;55;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Todo ano;28/03/1984 00:00;35;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;18/07/1972 00:00;47;MASCULINO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;19 a 24 Meses;out/19
Ate seis meses;Todo mês;17/09/1973 00:00;46;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$89,00;68;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Todo mês;06/09/1984 00:00;35;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;70;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre cinco e dez anos;Nunca;15/04/1981 00:00;38;MASCULINO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;28/05/1983 00:00;36;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;31/08/1973 00:00;46;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;25/07/1960 00:00;59;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;09/07/1966 00:00;53;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;80;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;16/08/1993 00:00;26;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;07/11/1977 00:00;41;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Quase nunca;03/09/1962 00:00;57;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;25 a 36 Meses;out/19
Entre dois e cinco anos;Quase nunca;29/06/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;20;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Nunca;04/09/1991 00:00;28;MASCULINO;SIM;SIM;Superior incompleto ou mais;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;13/05/1973 00:00;46;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;24/06/1961 00:00;58;MASCULINO;SIM;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre dois e cinco anos;Quase nunca;26/08/1993 00:00;26;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;80;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Quase nunca;05/02/1970 00:00;49;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;03/02/1978 00:00;41;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;CRAS PETROPOLIS;BARREIRO;19 a 24 Meses;out/19
Mais de dez anos;Nunca;10/01/1975 00:00;44;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;80;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre cinco e dez anos;Todo ano;05/11/1973 00:00;45;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;19 a 24 Meses;out/19
Entre seis meses e um ano;Todo ano;04/02/1993 00:00;26;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;23/09/1969 00:00;50;MASCULINO;SIM;SIM;Fundamental incompleto;NÃ£o Informado;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;13/04/1991 00:00;28;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;01/03/1983 00:00;36;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre cinco e dez anos;Nunca;09/07/1962 00:00;57;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Toda semana;25/11/1974 00:00;44;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;60;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;05/02/1989 00:00;30;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;200;EndereÃ§o Fora de Ãrea CRAS;LESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;17/05/1979 00:00;40;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;19 a 24 Meses;out/19
Entre um e dois anos;Nunca;05/01/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;19 a 24 Meses;out/19
Entre seis meses e um ano;Nunca;23/11/1971 00:00;47;MASCULINO;SIM;SIM;Fundamental completo;Parda;Entre R$89,01 ate R$178,00;100;ENDERECO FORA AREA CRAS;NORDESTE;19 a 24 Meses;out/19
Entre seis meses e um ano;Nunca;25/08/1975 00:00;44;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;60;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;28/02/1959 00:00;60;MASCULINO;SIM;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Todo ano;29/11/1953 00:00;65;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;19 a 24 Meses;out/19
Entre cinco e dez anos;Toda semana;19/02/1985 00:00;34;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Nunca;19/01/1970 00:00;49;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;120;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Quase nunca;14/04/1976 00:00;43;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Entre R$89,01 ate R$178,00;100;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Nunca;10/06/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Todo ano;04/10/1987 00:00;32;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;20/08/1979 00:00;40;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
