TEMPO_VIVIE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;BOLSA_FAMILIA;POP_RUA;GRAU_INSTRUCAO;COR_RACA;FAIXA_RENDA_FAMILIAR_PER_CAPITA;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Entre cinco e dez anos;Todo ano;17/11/1982 00:00;36;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;120;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre um e dois anos;Nunca;29/01/1981 00:00;38;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;29/04/1974 00:00;45;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre seis meses e um ano;Todo mês;27/02/1974 00:00;45;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;out/19
Entre cinco e dez anos;Quase nunca;16/09/1992 00:00;27;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;30/05/1967 00:00;52;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;200;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;14/02/1970 00:00;49;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Todo ano;15/03/1976 00:00;43;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre um e dois anos;Nunca;02/08/1971 00:00;48;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;19 a 24 Meses;out/19
Entre um e dois anos;Nunca;26/04/1978 00:00;41;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo dia;05/04/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;60;ENDERECO FORA AREA CRAS;PAMPULHA;13 a 18 Meses;out/19
Entre um e dois anos;Nunca;04/09/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Nunca;09/02/1969 00:00;50;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;LESTE;ate 12 Meses;out/19
Entre um e dois anos;Todo ano;08/11/1972 00:00;46;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$89,00;100;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;30/08/1972 00:00;47;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;11/11/1964 00:00;54;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;out/19
Ate seis meses;Nunca;27/02/1976 00:00;43;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Todo mês;01/08/1981 00:00;38;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Nunca;10/04/1980 00:00;39;MASCULINO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;30/03/1969 00:00;50;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;19 a 24 Meses;out/19
Entre cinco e dez anos;Nunca;20/03/1983 00:00;36;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;40;ENDERECO FORA AREA CRAS;PAMPULHA;19 a 24 Meses;out/19
Mais de dez anos;Nunca;20/09/1994 00:00;25;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;out/19
Ate seis meses;Toda semana;18/05/1981 00:00;38;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;19 a 24 Meses;out/19
Ate seis meses;Toda semana;08/03/1965 00:00;54;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;19 a 24 Meses;out/19
Entre seis meses e um ano;Nunca;16/04/1973 00:00;46;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Nunca;27/04/1988 00:00;31;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;19 a 24 Meses;out/19
Entre seis meses e um ano;Todo mês;11/05/1988 00:00;31;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;28/02/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;06/02/1991 00:00;28;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;30/07/1970 00:00;49;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
